SP_0001	197	1558
SP_0002	1717	2853
SP_0003	2918	3112
SP_0004	3196	4311
SP_0005	4382	4951
SP_0006	4952	8461
SP_0007	8519	8785
SP_0008	8778	9146
SP_0010	9266	10534
SP_0011	10531	11808
SP_0012	11812	12354
SP_0013	12370	14328
SP_0014	14450	14929
SP_2242	15023	15094
SP_rrnaA16S	15349	16900
SP_2243	16945	17017
SP_rrnaA23S	17141	20044
SP_rrnaA5S	20120	20235
SP_2244	20241	20314
SP_0018	22365	22601
SP_0019	22832	24118
SP_0020	24319	24786
SP_0021	24973	25416
SP_0022	25418	25933
SP_0023	25947	27308
SP_0024	27381	27878
SP_0025	27903	28112
SP_0026	28094	28717
SP_0027	28862	29830
SP_0029	30372	30605
SP_0031	30929	31279
SP_0032	31535	34168
SP_0033	34253	34690
SP_0034	35009	36019
SP_0035	36168	37337
SP_0036	37334	38104
SP_0037	38101	39093
SP_0038	39099	39332
SP_0041	39871	40101
SP_0042	40816	42969
SP_0043	42982	44331
SP_0044	44501	45208
SP_0045	45410	49135
SP_0046	49228	50670
SP_0047	50889	51911
SP_0048	51908	52453
SP_0049	52537	53046
SP_0050	53071	54618
SP_0051	54740	56002
SP_0052	56259	56375
SP_0053	56405	56893
SP_0054	56880	57971
SP_0055	57981	58208
SP_0056	58271	59569
SP_0057	59624	63562
SP_0058	63890	64606
SP_0060	64955	66742
SP_0061	66739	67215
SP_0062	67243	68148
SP_0063	68135	68950
SP_0064	68957	69361
SP_0065	69660	70826
SP_0066	70942	71979
SP_0071	73761	79331
SP_0073	79687	80541
SP_0074	80647	81204
SP_0075	81421	82185
SP_0078	82798	84177
SP_0079	84191	84856
SP_0082	86298	88871
SP_0083	89038	89736
SP_0084	89733	90785
SP_0085	90980	91591
SP_0088	92245	92505
SP_0090	92999	93928
SP_0091	93942	94865
SP_0092	95123	96598
SP_0095	96870	97856
SP_0096	98131	98991
SP_0097	99169	100233
SP_0098	100296	101207
SP_0099	101200	101793
SP_0100	101780	102106
SP_0101	102245	103411
SP_0102	103469	104626
SP_0103	104668	106518
SP_0104	106956	107588
SP_0105	107610	108482
SP_0106	108491	109162
SP_0107	109404	109991
SP_0108	110043	110363
SP_0109	110794	111081
SP_0110	111133	113241
SP_0111	113238	113879
SP_0112	114086	114892
SP_0113	114858	115328
SP_0114	115515	115835
SP_0115	116593	116973
SP_0116	117631	117870
SP_0117	118423	120657
SP_0118	121058	122179
SP_0119	122320	122775
SP_0120	122785	124698
SP_0121	125051	126730
SP_0122	126732	126965
SP_0124	127783	127935
SP_0125	127937	128122
SP_0127	128300	128983
SP_0128	128980	129417
SP_0129	129407	130417
SP_0136	134231	135106
SP_0137	135193	136809
SP_0138	137070	137498
SP_0139	137510	138259
SP_0141	139839	140702
SP_0142	140988	141221
SP_0143	141243	141920
SP_0144	141932	142597
SP_0145	142669	143895
SP_0146	144440	145096
SP_0147	145086	145295
SP_0148	145513	146343
SP_0149	146497	147351
SP_0150	147451	148824
SP_0151	148817	149878
SP_0152	149880	150572
SP_0153	150602	151171
SP_0154	151306	151920
SP_0155	151970	153568
SP_0156	153580	154866
SP_0157	154918	155451
SP_0158	155529	155999
SP_0159	156292	157554
SP_0160	157864	158322
SP_0161	158319	158759
SP_0163	159192	160058
SP_0165	160384	160941
SP_0166	161162	162268
SP_0167	162244	163635
SP_0168	163632	164810
